package	candidate_version	selection_state
git-man	1:2.47.3-0+deb13u1	selected
gnome-control-center	1:48.4-1~deb13u1	selected
gnome-control-center-data	1:48.4-1~deb13u1	selected
gnome-desktop3-data	44.3-3	selected
gnome-disk-utility	46.1-2+b1	selected
gnome-online-accounts	3.54.5-1~deb13u1	selected
gnome-settings-daemon	48.1-1	selected
gnome-settings-daemon-common	48.1-1	selected
gparted	1.6.0-2	selected
gparted-common	1.6.0-2	selected
gpg	2.4.7-21+deb13u1+b4	selected
gpgconf	2.4.7-21+deb13u1+b4	selected
graphviz	2.42.4-3	selected
groff-base	1.23.0-9	selected
grub-common	2.12-9+deb13u2	selected
grub-pc	2.12-9+deb13u2	selected
grub-pc-bin	2.12-9+deb13u2	selected
grub2-common	2.12-9+deb13u2	selected
gstreamer1.0-plugins-base	1.26.2-1+deb13u1	selected
gstreamer1.0-plugins-good	1.26.2-1+deb13u2	selected
gstreamer1.0-plugins-ugly	1.26.3-4+deb13u1	selected
gtk2-engines	1:2.20.2-8	selected
gtk2-engines-murrine	0.98.2-4+b1	selected
gtk2-engines-pixbuf	2.24.33-7	selected
gufw	24.04.0-3	selected
gvfs	1.57.2-2+deb13u1	selected
gvfs-backends	1.57.2-2+deb13u1	selected
gvfs-common	1.57.2-2+deb13u1	selected
gvfs-daemons	1.57.2-2+deb13u1	selected
gvfs-libs	1.57.2-2+deb13u1	selected
heif-gdk-pixbuf	1.19.8-1+deb13u1	selected
heif-thumbnailer	1.19.8-1+deb13u1	selected
hexchat	2.16.2-1+b6	selected
hexchat-common	2.16.2-1	selected
htop	3.4.1-5	selected
ifupdown	0.8.44+deb13u1	selected
imagemagick	8:7.1.1.43+dfsg1-1+deb13u11	selected
imagemagick-7-common	8:7.1.1.43+dfsg1-1+deb13u11	selected
imagemagick-7.q16	8:7.1.1.43+dfsg1-1+deb13u11	selected
inetutils-telnet	2:2.6-3+deb13u3	selected
init	1.69~deb13u1	selected
initramfs-tools	0.148.4	selected
initramfs-tools-bin	0.148.4	selected
initramfs-tools-core	0.148.4	selected
inkscape	1.4-6	selected
installation-report	2.97	selected
iproute2	6.15.0-1	selected
iptables	1.8.11-2	selected
iputils-ping	3:20240905-3	selected
iso-codes	4.18.0-1	selected
iw	6.9-1	selected
karbon	1:25.04.2+dfsg-1	selected
kbd	2.7.1-2	selected
kded5	5.116.0-1	selected
kded6	6.13.0-1	selected
keyboard-configuration	1.242~deb13u1	selected
keyutils	1.6.3-6	selected
kglobalacceld	6.3.6-1	selected
kio	5.116.0-1	selected
kio6	6.13.0-6	selected
kitty	0.41.1-2+deb13u2	selected
kitty-shell-integration	0.41.1-2+deb13u2	selected
kitty-terminfo	0.41.1-2+deb13u2	selected
klibc-utils	2.0.14-1	selected
kmod	34.2-2	selected
